neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights
45,1,0,3,1.0,1.0,3.0,3,10948.0,3000.0,3,4000.0,3
33,7,2,4,1.0,1.0,4.0,3,14998.0,3000.0,2,5000.0,1
44,14,2,1,1.0,1.0,1.0,3,5036.0,3000.0,1,2500.0,1
44,14,2,3,1.0,1.0,1.0,3,6021.0,3000.0,1,2500.0,1
33,14,2,2,1.0,1.0,1.0,3,3284.0,3500.0,1,0.0,1
45,1,0,5,1.0,1.0,3.0,3,15984.0,3000.0,5,4000.0,3
45,14,2,6,1.0,2.0,4.0,3,16203.0,2500.0,6,3000.0,3
33,1,0,2,1.0,1.0,0.0,3,7663.0,5693.0,1,2190.0,3
33,1,0,2,1.0,1.0,1.0,3,7444.0,5693.0,2,0.0,3
45,1,0,3,1.0,1.0,3.0,3,10948.0,3000.0,3,4000.0,3
42,14,2,2,1.0,1.0,2.0,3,7554.0,3000.0,1,6000.0,3
19,1,0,6,1.0,2.0,5.0,3,14998.0,5000.0,6,0.0,3
38,5,0,10,1.0,3.0,4.0,3,35033.0,7000.0,1,1000.0,1
43,1,0,2,1.0,1.0,1.0,3,7007.0,4000.0,1,2000.0,2
4,14,2,3,1.0,1.0,0.0,3,4926.0,3000.0,1,2600.0,2
43,1,0,3,1.0,1.0,2.0,3,8539.0,4000.0,1,2000.0,2
42,14,2,2,1.0,1.0,1.0,3,9853.0,4000.0,1,5000.0,2
15,14,2,2,1.0,1.0,1.0,3,3284.0,0.0,1,3832.0,2
33,14,2,1,1.0,1.0,1.0,3,3284.0,2160.0,1,0.0,3
42,7,0,2,1.0,1.0,2.0,3,20034.0,4000.0,1,0.0,3
20,14,0,3,1.0,2.0,2.0,3,8977.0,2000.0,1,2500.0,2
19,14,2,2,1.0,1.0,1.0,3,1971.0,2000.0,2,0.0,2
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3
51,1,2,1,1.0,1.0,1.0,3,5036.0,2000.0,1,0.0,2
51,1,2,1,1.5,1.0,1.0,3,5036.0,2000.0,1,2000.0,2
51,1,2,1,1.0,1.0,1.0,3,4817.0,2000.0,1,1500.0,2
21,1,2,2,1.0,1.0,1.0,3,5255.0,3832.0,1,1971.0,3
43,1,0,3,1.0,1.0,2.0,3,8977.0,6000.0,2,2000.0,1
18,1,0,2,1.0,1.0,2.0,3,6897.0,5000.0,1,0.0,3
28,1,0,4,1.0,1.0,4.0,3,14013.0,3000.0,2,3000.0,1
